name,opened_date,venue,address,city,state,zip_code,source,notes,latitude,longitude
Shane's Inspiration,9/21/00; 3/28/19,Griffith Park,"4800 Crystal Springs Rd",Los Angeles,CA,90027,PLAYGROUNDS-LIST-2023.pdf,"Duplicate PDF listing preserved from 2019 entry.",,
Aidan's Place,12/5/01; 12/4/22,Westwood Park,"1350 S. Sepulveda Blvd.",Los Angeles,CA,90025,PLAYGROUNDS-LIST-2023.pdf,"PDF also lists 1350 South Sepulveda Blvd, Los Angeles, CA 90024 and Aidan's Place at Westwood Rec Center.",34.0532353,-118.448078
Corona Norco Family YMCA,8/27/03,,"1331 River Road",Corona,CA,92880,PLAYGROUNDS-LIST-2023.pdf,,33.9037379,-117.5783228
Lake Street Park,7/20/04,,"211 North Lake Street",Los Angeles,CA,90026,PLAYGROUNDS-LIST-2023.pdf,,34.0685909,-118.2705041
Lincoln Park,8/12/04,,"3600 North Mission Rd",Los Angeles,CA,90031,PLAYGROUNDS-LIST-2023.pdf,,34.067791,-118.202244
Parque de los Suenos,11/13/04,,"1333 South Bonnie Beach Pl",Los Angeles,CA,90032,PLAYGROUNDS-LIST-2023.pdf,,34.0152679,-118.1811977
Prado Regional Park,11/13/04,,"16700 Euclid Avenue",Chino,CA,91710,PLAYGROUNDS-LIST-2023.pdf,,33.9514746,-117.6502232
Wilshire Crest Elementary,3/2/05,,"5241 W. Olympic Blvd",Los Angeles,CA,90036,PLAYGROUNDS-LIST-2023.pdf,,34.0576732,-118.3440491
The Neil Papiano Play Park,3/3/05,Los Angeles Zoo,"5333 Zoo Dr",Los Angeles,CA,90027,PLAYGROUNDS-LIST-2023.pdf,,,
Brandon's Village,10/18/06,Gates Canyon Park,"25801 Thousand Oaks Blvd",Calabasas,CA,,PLAYGROUNDS-LIST-2023.pdf,"PDF city spelling normalized from Calabsasas; ZIP not listed.",34.1600225,-118.6927774
Hansen Dam Park,2/23/07,,"11770 Foothill Blvd",Lakeview Terrace,CA,91342,PLAYGROUNDS-LIST-2023.pdf,,,
Playa Vista Sports Park,4/1/07,,"Playa Vista Dr. & Bluff Creek Dr",Playa Vista,CA,90094,PLAYGROUNDS-LIST-2023.pdf,"Intersection address from PDF.",33.9681765,-118.4246476
Orthopaedic Medical Center,3/1/08,,"2400 S Flower St",Los Angeles,CA,90007,PLAYGROUNDS-LIST-2023.pdf,,34.028861,-118.273704
Martin Luther King Jr. Park,4/19/08,,"3916 Western Ave.",Los Angeles,CA,90037,PLAYGROUNDS-LIST-2023.pdf,,34.0142875,-118.3088056
Renee's Place,4/21/08,Pan Pacific Park,"7600 Beverly Blvd",Los Angeles,CA,90036,PLAYGROUNDS-LIST-2023.pdf,,,
Hazard Park,6/5/08,,"2230 Norfolk St",Los Angeles,CA,90033,PLAYGROUNDS-LIST-2023.pdf,,34.0606693,-118.2007494
Beilenson Park,6/9/08,Lake Balboa Park,"6300 Balboa Blvd",Van Nuys,CA,91406,PLAYGROUNDS-LIST-2023.pdf,,,
Stoner Park,12/4/08,,"1835 Stoner Ave",West Los Angeles,CA,90025,PLAYGROUNDS-LIST-2023.pdf,,,
South Park,1/20/09,,"345 E. 51st St",Los Angeles,CA,90011,PLAYGROUNDS-LIST-2023.pdf,,33.9964654,-118.2687958
Ken Malloy Harbor Regional Park,3/20/09,,"25820 Vermont Ave",Harbor City,CA,90710,PLAYGROUNDS-LIST-2023.pdf,,33.7889527,-118.2938532
Benny H. Potter Memorial Park,5/2/09,,"2413 Second Ave",Los Angeles,CA,90018,PLAYGROUNDS-LIST-2023.pdf,,,
Maidu Regional Park,5/2/09,,"1550 Maidu Dr",Roseville,CA,95661,PLAYGROUNDS-LIST-2023.pdf,,38.7362882,-121.252948
Mahany Regional Park,5/25/09,,"1545 Pleasant Grove Blvd",Roseville,CA,95747,PLAYGROUNDS-LIST-2023.pdf,,38.7672001,-121.3326234
Sycamore Grove Park,4/20/10,,"4702 N. Figueroa St",Los Angeles,CA,90042,PLAYGROUNDS-LIST-2023.pdf,,34.1002805,-118.2036242
Folsom City Park,5/1/10,,"403 Stafford St",Folsom,CA,95630,PLAYGROUNDS-LIST-2023.pdf,,38.6825322,-121.1663821
Fairmount Park,6/19/10,,"2681 Dexter Dr",Riverside,CA,95661,PLAYGROUNDS-LIST-2023.pdf,"ZIP retained from PDF; verify before production import.",33.9982568,-117.3790567
Shadow Ranch Park,10/7/10,,"22633 Vanowen St",West Hills,CA,91307,PLAYGROUNDS-LIST-2023.pdf,,34.1948189,-118.6552101
Glen Alla Park,12/9/10,,"4601 Alla Rd",Los Angeles,CA,90292,PLAYGROUNDS-LIST-2023.pdf,,33.9856076,-118.4317221
Dearborn Park,3/5/11,,"17141 Nordhoff St",Northridge,CA,91325,PLAYGROUNDS-LIST-2023.pdf,,34.23587,-118.5078619
Van Nuys Sherman Oaks Park,4/14/11,,"14201 Huston St",Sherman Oaks,CA,91423,PLAYGROUNDS-LIST-2023.pdf,,34.159337,-118.4423051
Reese's Retreat,4/30/11,Brookside Park,"360 N. Arroyo Blvd",Pasadena,CA,91103,PLAYGROUNDS-LIST-2023.pdf,,,
Westside Park,7/23/11,,"2777 Clyde Ave",Los Angeles,CA,90019,PLAYGROUNDS-LIST-2023.pdf,,34.0286067,-118.3683822
4th Avenue Park,6/9/12,,"14105 Don Julian Rd",La Puente,CA,91745,PLAYGROUNDS-LIST-2023.pdf,,,
Valley Glen Community Park,11/21/12,,"Erwin St & Ethel Ave",Van Nuys,CA,91436,PLAYGROUNDS-LIST-2023.pdf,"Intersection address from PDF.",,
Ritchie Valens Park,6/24/13,,"10731 Laurel Canyon",Pacoima,CA,91331,PLAYGROUNDS-LIST-2023.pdf,,34.2652007,-118.4390462
Jaime Beth Slavin Park,6/27/13,,"12500 Strathern St",North Hollywood,CA,91605,PLAYGROUNDS-LIST-2023.pdf,,34.215644,-118.405401
DeGarmo Park,9/5/13,,"Arminta St & Golden State Fwy",Los Angeles,CA,91352,PLAYGROUNDS-LIST-2023.pdf,"Intersection address from PDF.",,
El Cariso Park,11/20/13,,"13100 Hubbard St",Sylmar,CA,91342,PLAYGROUNDS-LIST-2023.pdf,,34.317908,-118.418384
Howard Finn Park,12/21/13,,"7747 Foothill Blvd",Sunland,CA,91402,PLAYGROUNDS-LIST-2023.pdf,"ZIP retained from PDF; verify before production import.",34.257588,-118.301001
Mason Park,4/1/14,,"10500 Mason Ave",Chatsworth,CA,91311,PLAYGROUNDS-LIST-2023.pdf,,34.261003,-118.579728
Studio City Park,4/16/14,,"12621 Rye St",Studio City,CA,91604,PLAYGROUNDS-LIST-2023.pdf,,34.151424,-118.4077639
Hubert Humphrey Recreation Center,7/11/14,,"12560 Filmore St",Pacoima,CA,91331,PLAYGROUNDS-LIST-2023.pdf,,34.282504,-118.406677
Fernangeles Park,7/31/14,,"Laurel Canyon",Sun Valley,CA,91352,PLAYGROUNDS-LIST-2023.pdf,"Street-level address from PDF; verify before production import.",34.2299376,-118.4015677
Sepulveda Recreation Center,7/11/15,,"8801 Kester Ave",Panorama City,CA,91402,PLAYGROUNDS-LIST-2023.pdf,"ZIP retained from PDF; verify before production import.",34.229905,-118.4578521
Jackie Tatum,1/28/16,Harvard Park,"1535 West 62nd St",Los Angeles,CA,90047,PLAYGROUNDS-LIST-2023.pdf,,,
Vermont Gage,4/30/16,,"6264 South Vermont Ave",Los Angeles,CA,90044,PLAYGROUNDS-LIST-2023.pdf,,33.9834304,-118.291382
Rocket's Playground,6/2/17,North Weddington Park,"10844 Acama St",North Hollywood,CA,91602,PLAYGROUNDS-LIST-2023.pdf,,,
Maple Park,8/17/19,,"820 E Maple St",Glendale,CA,91205,PLAYGROUNDS-LIST-2023.pdf,,34.1385713,-118.2448684
Whole Foods in the Park,8/29/19,,"23401 Civic Center Way",Malibu,CA,90265,PLAYGROUNDS-LIST-2023.pdf,,34.0384905,-118.6864043
LEO's Haven at Chanticleer Park,1/18/20,,"1925 Chanticleer Ave",Santa Cruz,CA,95062,PLAYGROUNDS-LIST-2023.pdf,,36.9781613,-121.9800924
